Image1,Image2,Label
/content/drive/MyDrive/Datasets/Datasets/Front_face/01.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/01.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/02.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/02.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/03.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/03.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/04.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/04.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/05.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/05.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/06.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/06.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/07.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/07.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/08.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/08.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/09.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/09.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/10.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/10.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/11.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/11.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/12.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/12.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/13.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/13.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/14.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/14.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/15.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/15.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/16.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/16.jpeg,1
/content/drive/MyDrive/Datasets/Datasets/Front_face/17.jpg,/content/drive/MyDrive/Datasets/Datasets/front_skull/17.jpeg,1
